price,hotness,editors_choice,time_published,url,picture_url,time_modified,shipping,description,category,title,uuid
$42,3,,2018-01-03T05:12:24-05:00,https://www.dealnews.com/Nursal-Cordless-Neck-Massager-Pillow-for-42-free-shipping/2170667.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jomxhnnv0r5j1c0hgirv",,free shipping,"Nursal via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170667"">Nursal Cordless Neck Massager Pillow</a> for $52.99. Coupon code ""EPF4LN27"" cuts it to <strong>$42.39</strong>. With <strong>free shipping</strong>, that's $3 less than our November mention, $11 off, and the lowest price we could find. It features two hours of cordless massage on a full charge, heat function, 3D shiatsu massager ball, and 1-button control. Deal ends January 31.",HEALTH,Nursal Cordless Neck Massager Pillow,2170667
At least 70% off,5,,2018-01-03T05:02:08-05:00,https://www.dealnews.com/6-pm-Clearance-At-least-70-off-free-shipping-w-50/2170682.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cghofz11hwnenltkhgpm",,free shipping w/ $50,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170682"">6pm</a> continues to take <strong>at least 70% off</strong> over <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093660,2170682"">9,000 sale items</a>. Shipping adds <strong>$3.95</strong>, but orders of $50 or more qualify for free shipping. (Orders of two or more items also receive free shipping, regardless of the cost.) Some exclusions apply.",CLOTHING & ACCESSORIES,6pm Clearance,2170682
from $35,4,,2018-01-03T04:57:01-05:00,https://www.dealnews.com/Gaiam-Balance-Ball-Chairs-from-35-free-shipping/2170640.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cvng2fc9ndua2e4ugt9v",,free shipping,"As one of its daily deals, Amazon discounts a selection of Gaiam Balance Ball Chairs, with prices starting from <strong>$34.99</strong>. Plus, these orders receive <strong>free shipping</strong>. Deal ends today. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093657,2170640"">Gaiam Kids' Balance Ball Chair</a> for <strong>$34.99</strong> (low by $42)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093627,2170640"">Gaiam Adjustable Custom-Fit Balance Ball Chair</a> for <strong>$49.99</strong> (low by $30)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170640"">Gaiam Balance Ball Chair</a> for <strong>$54.98</strong> (pictured, low by $18)
 </li>
</ul>",EXERCISE EQUIPMENT,Gaiam Balance Ball Chairs,2170640
$3,4,,2018-01-03T04:54:48-05:00,https://www.dealnews.com/Olaxer-Olive-Body-Lotion-8.2-oz.-Bottle-for-3-free-shipping-w-Prime/2170673.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wugbitn2pyegq7iinhzu",,free shipping w/ Prime,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170673"">Olaxer Olive Moisturizing Body Lotion 8.2-oz. Bottle</a> for $7.99. Coupon code ""FLWUN8TI"" cuts that to <strong>$3</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's the lowest price we could find by $8. Deal ends January 8.",SKIN CARE,Olaxer Olive Body Lotion 8.2-oz. Bottle,2170673
from $29,4,True,2018-01-03T04:43:48-05:00,https://www.dealnews.com/Thule-Backpacks-at-Meh-from-29-5-s-h/2170658.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y5i8cebscaiobxwiwwtv",,$5 shipping,"As one of its daily deals, Meh discounts a selection of Thule Backpacks, with prices starting from <strong>$29</strong>. Plus, shipping adds <strong>$5</strong>. Deal ends today. The packs:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093642,2170658"">Thule Paramount 24L Backpack</a> for <strong>$29</strong> (low by $25)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093645,2170658"">Thule Paramount 27L Backpack</a> for <strong>$34</strong> (low by $41)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170658"">Thule Subterra 25L Backpack</a> for <strong>$34</strong> (pictured, low by $36)
 </li>
</ul>",BACKPACKS,Thule Backpacks at Meh,2170658
$4,3,True,2018-01-03T04:38:34-05:00,https://www.dealnews.com/Dynex-16-x-DVD-R-25-Pack-for-4-pickup-at-Best-Buy/2170661.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fcpiw4vwhcys28rm5udn",,pickup at Best Buy,"As one of its daily deals, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170661"">Dynex 16x DVD-R 25-Pack</a> for <strong>$3.99</strong>. Choose in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $2 under the lowest price we could find for any similar 25-pack. Each disc features a 4.7GB capacity. Deal ends today.","DVD, BLU-RAY & CD DRIVES & BURNERS",Dynex 16x DVD-R 25-Pack,2170661
30% to 50% off,4,,2018-01-03T04:34:39-05:00,https://www.dealnews.com/Columbia-Winter-Sale-30-to-50-off-free-shipping/2170628.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hd9odivlb0r2kyycinxd",,free shipping,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170628"">Columbia</a> takes <strong>30% to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093600,2170628"">men's, women's, and kids' styles</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093603,2170628"">Winter Sale</a>. Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093606,2170628"">sign up</a>.) Deal ends February 28.",CLOTHING & ACCESSORIES,Columbia Winter Sale,2170628
$40,5,True,2018-01-03T04:22:21-05:00,https://www.dealnews.com/4-American-Rag-Mens-Pullover-Hoodies-for-40-free-shipping/2170646.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ymjjaqq0qsodpk0crug9",,free shipping,"As one of its daily deals, 13 Deals offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170646"">four American Rag Men's Pullover Hoodies</a> in assorted colors for <strong>$39.96</strong> with <strong>free shipping</strong>. That's what one of these hoodies costs alone elsewhere (making this a nifty low by $120). They're available in sizes M to XXL and ship in random colors. Deal ends today.",SWEATSHIRTS & HOODIES,4 American Rag Men's Pullover Hoodies,2170646
Up to 95% off,5,,2018-01-03T04:21:30-05:00,https://www.dealnews.com/Backcountry-Year-End-Sale-Up-to-95-off-free-2-day-s-h-w-50/2170613.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k5kujjokdwlptbutjkgq",,free 2-day s&h w/ $50,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170613"">Backcountry</a> continues to take <strong>up to 95% off</strong> a huge selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093588,2170613"">apparel, shoes, accessories, and gear</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093591,2170613"">Year-End Sale</a>. (Prices are as marked.) Shipping starts at <strong>$5.95</strong>, but orders of $50 or more qualify for free 2-day shipping. Save on styles from The North Face, Marmot, Columbia, Patagonia, and Sorel, among many others. Deal ends January 8.",CLOTHING & ACCESSORIES,Backcountry Year-End Sale,2170613
Save up to $782,,,2018-01-02T11:11:18-05:00,"https://www.dealnews.com/lw/click.html?20,2,2170223","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aq1sckhgbtxvj4gqbcxp",,,"At <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170223"">Liberty Mutual</a>, you could save <strong>up to $782</strong> when you combine <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092382,2170223"">home and auto insurance</a>. To take advantage of this multi-policy discount, enter your ZIP code to receive a free rate quote.",FINANCIAL SERVICES,Liberty Mutual Home and Auto Insurance,2170223
