shipping,time_modified,hotness,time_published,editors_choice,uuid,url,description,picture_url,title,price,category
free shipping,2018-01-04T17:29:56-05:00,4,,,2171558,https://www.dealnews.com/G.H.-Bass-Co.-Mens-Bruno-Leather-Oxfords-for-35-free-shipping/2171558.html,"Nashville Shoe Warehouse via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171558"">G.H. Bass &amp; Co. Men's Bruno Leather Oxford Shoes</a> in Chocolate for <strong>$34.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $45. They're available in sizes 7.5 to 13.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/npb4nnjbmgytx2f59hle",G.H. Bass & Co. Men's Bruno Leather Oxfords,$35,SHOES
free shipping,2018-01-04T21:38:06-05:00,3,,,2171534,https://www.dealnews.com/220-Dixie-Everyday-Disposable-Paper-Plates-for-13-free-shipping/2171534.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171534"">five Dixie Everyday Disposable Paper Plate 44-Packs</a> (220 total) for <strong>$13.29</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $10, although we saw them for $2 less last November. They're cut-resistant and microwavable. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095559,2171534"">220 Dixie Everyday Disposable Paper Plates</a> for $16.09
 </li>
 <li>clip the $2 off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$13.29</strong> and to receive <strong>free shipping</strong>
 </li>
</ol>
Be sure to cancel Subscribe & Save once your order ships to avoid being billed for subsequent shipments.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/awhn9xsvfzebs1nolexm",220 Dixie Everyday Disposable Paper Plates,$13,PARTY SUPPLIES
free shipping,2018-01-04T17:29:05-05:00,4,,,2171522,https://www.dealnews.com/Turbo-Tax-Premier-2017-PC-Mac-w-Quicken-2018-for-55-free-shipping/2171522.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171522"">Intuit TurboTax Premier 2017 Federal + E-File + State Tax Preparation Software for Windows and Mac</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095556,2171522"">Quicken Starter Edition 2018 1-Year Membership</a> for <strong>$54.86</strong> with <strong>free shipping</strong>. That's tied with last week's mention and $35 under the lowest price we could find for these items sold separately elsewhere.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mbvv75bnpc0rmdmmem28",TurboTax Premier 2017 PC/Mac w/ Quicken 2018,$55,SOFTWARE
free shipping,2018-01-04T17:28:05-05:00,4,,,2171528,https://www.dealnews.com/Fisher-Space-Bullet-Space-Pen-for-13-free-shipping/2171528.html,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171528"">Fisher Space Bullet Space Pen</a> in Matte Black for <b>$13.08</b> with <b>free shipping</b>. That's the lowest price we could find by $8. It works in extreme temperatures from -30° F to 250° F and in extreme conditions such as the gravity-free vacuum of space. (Just in case ...)","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zylgecfedco1zbwos99d",Fisher Space Bullet Space Pen,$13,SUPPLIES
pickup at REI,2018-01-04T20:57:48-05:00,2,,,2171516,https://www.dealnews.com/Seattle-Sports-8-L-Aqua-Sto-Water-Keg-for-7-pickup-at-REI/2171516.html,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171516"">Seattle Sports 8-Liter AquaSto Water Keg</a> in Black for <strong>$6.73</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $4. It doubles as solar water heater for showers and dish washing, and includes a flat cap, a push-pull cap, spigot, and carry handle.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vcivlgs9tqw5arvnylmz",Seattle Sports 8L AquaSto Water Keg,$7,CAMPING & OUTDOORS
pickup at Walmart,2018-01-04T20:56:49-05:00,3,,,2171543,https://www.dealnews.com/Holly-Martin-Lydock-Console-Table-for-100-pickup-at-Walmart/2171543.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171543"">Holly &amp; Martin Lydock Console Table</a> in Black for $104.38. (Select this option from ""Other sellers"" under the price info.) Opt for in-store <strong>pickup</strong> to drop the price to <strong>$99.68</strong>. That's the lowest price we could find by $18.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sjbub89gktbvmvk9axq3",Holly & Martin Lydock Console Table,$100,TABLES
pickup at REI,,1,2018-01-04T06:38:23-05:00,,2171501,https://www.dealnews.com/Fox-River-Sport-Tab-Lightweight-Socks-2-Pack-for-7-pickup-at-REI/2171501.html,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171501"">Fox River Sport Tab Lightweight Socks 2-Pack</a> in several colors (Purple pictured) for <strong>$6.73</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's $5 off list and the lowest price we could find. They're available in size M only.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pv57l6knhmsragwzmgyf",Fox River Sport Tab Lightweight Socks 2-Pack,$7,SOCKS
free shipping w/ Prime,2018-01-04T21:03:39-05:00,3,,,2171486,https://www.dealnews.com/X-Chef-Garlic-Press-Set-for-10-free-shipping-w-Prime/2171486.html,"X-Chef via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171486"">X-Chef Garlic Press Set</a> for <strong>$10.39</strong> with <strong>free shipping</strong>. That's the lowest price we could find by a buck. It includes the press, silicone tube roller, and a cleaning brush.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zzgjgqln3quwld8wol5w",X-Chef Garlic Press Set,$10,KITCHEN
free s&h w/beauty item,2018-01-04T20:56:15-05:00,3,,,2171477,https://www.dealnews.com/Converse-Womens-Animal-Hi-or-Low-Sneakers-for-22-free-s-h-w-beauty-item/2171477.html,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171477"">Converse Women's Chuck Taylor Animal Print High Sneakers</a> for <strong>$22.48</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095529,2171477"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $43 off list and the lowest price we could find. They're available in sizes 5 to 10.<br>
<br>
Also available is the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095532,2171477"">Converse Women's Chuck Taylor Ox Animal Print Low Sneakers</a> for <strong>$22.48</strong>. Pad your order as above to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $38 off list and the lowest price we could find. They're available in sizes 5 to 8.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nnrzp0o6ld2fa6dobk5d",Converse Women's Animal Hi or Low Sneakers,$22,SHOES
,2018-01-04T16:17:54-05:00,4,,,2171300,https://www.dealnews.com/Car-Batteries-at-Advance-Auto-Parts-30-off/2171300.html,"For in-store pickup only, Advance Auto Parts takes <strong>30% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171300"">car batteries</a> via coupon code ""EM308A"". (The coupon may apply automatically.) A $50 maximum savings applies. Deal ends January 7.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2750/Advance-Auto-Parts/"">Advance Auto Parts Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gqz5lisxoxh9oiapv03m",Car Batteries at Advance Auto Parts,30% off,AUTOMOTIVE
